City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Max Temp,Wind Speed,lng
151,marevo,0,BA,1567121031,93,43.57,62.6,2.24,18.7
152,coronel bogado,0,PY,1567121031,51,-27.16,84.2,3.36,-56.24
153,jolalpan,95,MX,1567121032,37,18.32,90.0,1.01,-98.85
154,vila do maio,40,CV,1567121032,78,15.13,80.6,8.05,-23.22
155,puerto del rosario,14,ES,1567120902,88,28.5,73.4,9.17,-13.86
156,port hedland,0,AU,1567121032,100,-20.31,57.2,6.87,118.58
157,karimganj,100,IN,1567121032,90,24.86,79.0,4.0,92.37
158,espanola,100,CA,1567121032,74,46.27,64.0,1.99,-81.77
159,geraldton,90,CA,1567120438,93,49.72,53.6,8.05,-86.95
160,upernavik,2,GL,1567121032,69,72.79,42.28,5.17,-56.15
161,aromashevo,98,RU,1567121033,90,56.86,49.3,21.27,68.64
162,weston,1,US,1567121033,44,41.2,79.0,8.05,-73.38
163,klang,75,MY,1567121033,88,3.05,78.8,3.36,101.45
164,bambanglipuro,43,ID,1567121033,86,-7.95,73.96,10.58,110.28
165,amapa,75,HN,1567121032,62,15.09,87.8,14.99,-87.97
166,lima,90,PE,1567120856,87,-12.06,60.8,11.41,-77.04
167,cayenne,0,GF,1567121033,83,4.94,80.6,4.7,-52.33
168,longyearbyen,75,NO,1567120440,87,78.22,48.2,12.75,15.63
169,tauramena,12,CO,1567121034,95,5.01,65.32,2.98,-72.75
170,baijiantan,0,CN,1567121034,27,45.63,73.78,1.43,85.18
171,amahai,86,ID,1567121034,79,-3.31,75.94,7.81,129.0
172,norman wells,75,CA,1567120451,71,65.28,50.0,5.82,-126.83
173,launceston,0,AU,1567121034,93,-41.43,46.0,3.36,147.14
174,saskylakh,75,RU,1567121034,63,71.97,42.64,3.83,114.09
175,russell,1,US,1567121034,52,38.9,93.0,13.87,-98.86
176,tuktoyaktuk,75,CA,1567121034,65,69.44,41.0,3.36,-133.03
177,porvoo,75,FI,1567121034,82,60.4,66.99,6.93,25.66
178,laguna,0,BZ,1567121035,66,16.17,87.8,9.17,-88.94
179,taoudenni,29,ML,1567121035,26,22.68,97.36,6.87,-3.98
180,marsa matruh,0,EG,1567121005,78,31.35,78.8,4.7,27.25
181,sohag,0,EG,1567121035,25,26.55,84.2,9.17,31.7
182,visegrad,0,BA,1567121035,82,43.78,59.0,2.24,19.3
183,ukiah,1,US,1567120901,37,39.15,84.99,11.41,-123.21
184,gillette,1,US,1567121035,31,44.29,79.0,8.05,-105.5
185,sao miguel do araguaia,74,BR,1567121036,28,-13.28,81.16,3.8,-50.16
186,kruisfontein,59,ZA,1567121036,83,-34.0,45.7,8.16,24.73
187,kununurra,47,AU,1567121036,27,-15.77,62.6,5.82,128.74
188,casablanca,75,MA,1567121036,61,33.6,78.8,4.7,-7.62
189,kota tinggi,75,MY,1567121036,83,1.73,82.4,5.82,103.9
190,cabedelo,0,BR,1567120480,83,-6.97,71.6,4.7,-34.84
191,puerto ayora,20,EC,1567121036,61,-0.74,80.6,11.41,-90.35
192,houma,47,CN,1567121036,44,35.63,71.62,4.74,111.36
193,mombetsu,100,JP,1567121037,97,44.35,59.56,1.66,143.35
194,zhangye,96,CN,1567121037,41,38.94,67.84,2.91,100.46
195,constitucion,90,MX,1567120479,68,23.99,64.4,9.17,-104.67
196,phan thiet,100,VN,1567120889,91,10.93,75.58,6.8,108.1
197,ribeira grande,0,PT,1567121037,74,38.52,71.8,4.76,-28.7
198,okhotsk,100,RU,1567121037,80,59.36,57.22,3.78,143.24
199,talara,40,PE,1567120982,290,-4.58,62.6,11.41,-81.27
200,lianzhou,93,CN,1567121037,90,24.79,71.98,3.74,112.38
201,yaan,74,NG,1567121038,96,7.38,70.0,6.11,8.57
202,iqaluit,90,CA,1567120438,93,63.75,41.0,28.86,-68.52
203,isangel,75,VU,1567121038,64,-19.55,75.2,4.7,169.27
204,tafresh,2,IR,1567120803,56,34.69,60.64,3.71,50.01
205,mattru,100,SL,1567121038,93,7.62,73.96,4.41,-11.83
206,fort-de-france,20,MQ,1567120795,78,14.61,84.2,8.05,-61.07
207,maningrida,82,AU,1567121038,27,-12.05,73.42,13.38,134.23
208,bocana de paiwas,0,NI,1567120925,80,12.79,75.04,2.51,-85.12
209,sola,9,TZ,1567120480,57,-3.17,69.64,5.17,33.8
210,airai,64,TL,1567121038,37,-8.93,77.92,1.12,125.41
211,troitskoye,79,RU,1567121039,80,52.98,64.96,6.55,84.68
212,atuona,15,PF,1567121039,74,-9.8,79.72,20.78,-139.03
213,pathein,100,MM,1567121039,88,16.78,79.18,2.98,94.73
214,sao joao da barra,0,BR,1567121039,82,-21.64,68.0,6.93,-41.05
215,kayes,95,ML,1567121039,82,14.44,79.54,8.84,-11.44
216,leesburg,1,US,1567120915,54,39.12,80.6,3.36,-77.56
217,mazagao,20,BR,1567121039,74,-0.12,84.2,9.17,-51.29
218,aripuana,43,BR,1567120470,33,-9.17,83.68,2.01,-60.63
219,donghai,0,CN,1567121039,67,34.52,70.72,2.91,118.76
220,saint-augustin,40,CA,1567121040,68,45.63,73.4,3.36,-73.98
221,funtua,47,NG,1567121040,94,11.52,70.54,3.53,7.31
222,shikarpur,75,PK,1567121040,94,27.96,82.4,4.92,68.63
223,nishihara,90,JP,1567121040,94,35.74,82.99,6.29,139.53
224,hazorasp,0,UZ,1567121040,71,41.32,55.4,4.7,61.08
225,cabo san lucas,40,MX,1567120977,59,22.89,91.0,5.82,-109.91
226,pucallpa,20,PE,1567121040,331,-8.38,35.6,4.7,-74.54
227,san patricio,0,PY,1567120450,53,-26.98,74.68,4.18,-56.83
228,iralaya,0,HN,1567121040,83,15.0,79.0,3.24,-83.23
229,ladario,0,PT,1567121041,93,40.7,66.0,1.48,-7.74
230,carutapera,34,BR,1567120888,81,-1.2,78.82,8.68,-46.02
231,dinard,0,FR,1567121041,87,48.63,59.0,2.24,-2.06
232,hobyo,5,SO,1567121041,79,5.35,75.76,21.07,48.53
233,bredasdorp,3,ZA,1567121028,75,-34.53,50.0,5.82,20.04
234,saint-philippe,75,CA,1567120443,60,45.36,73.4,16.11,-73.48
235,sidi ali,100,DZ,1567121041,82,36.1,77.2,18.3,0.42
236,solnechnyy,100,RU,1567121041,96,50.72,58.3,1.88,136.64
237,carmen,75,PH,1567121041,94,7.36,77.0,1.05,125.71
238,gigmoto,98,PH,1567121042,76,13.78,81.52,6.17,124.39
239,nanortalik,0,GL,1567121042,84,60.14,42.46,1.95,-45.24
240,gbadolite,1,CD,1567121042,95,4.28,68.38,1.99,21.0
241,tiksi,84,RU,1567120454,73,71.64,37.24,19.44,128.87
242,itarema,16,BR,1567121042,75,-2.92,76.48,11.1,-39.92
243,victoria,75,BN,1567120229,88,5.28,78.8,1.12,115.24
244,natal,0,BR,1567121043,78,-5.81,75.2,6.93,-35.21
